#Time	June	Oct	Mar
55900	0.779532296	0.777495223	0.770031321
55959	0.779536985	0.77749854	0.770089627
56030	0.779539751	0.777502749	0.770094921
56081	0.779540012	0.777515125	0.770148598
56093	0.77954573	0.777522132	0.770149011
56145	0.779552381	0.777524122	0.770197241
56166	0.779553493	0.777524699	0.770202158
56191	0.779554221	0.777531147	0.770202324
56253	0.779576779	0.777535702	0.770202565
56261	0.77959149	0.777538666	0.770213003
56264	0.779591882	0.777543253	0.770214908
56293	0.779812044	0.777544448	0.770215934
56295	0.779812509	0.777544752	0.770224798
56302	0.779814562	0.77754746	0.770225819
56308	0.779816686	0.777559158	0.77022847
56314	0.779820906	0.777559502	0.770301278
56368	0.779869681	0.777560179	0.770304764
56435	0.779895448	0.777571716	0.770305239
56437	0.779896486	0.777592927	0.770305607
56445	0.779896528	0.77760506	0.770307702
56456	0.779921818	0.77760682	0.770344486
56507	0.779925502	0.777607031	0.770345259
56566	0.779926182	0.777608565	0.770365097
56588	0.779940974	0.777609224	0.770368719
56666	0.779945167	0.777617153	0.770369259
56721	0.77995773	0.7776198	0.770370204
56771	0.779958346	0.777625434	0.770370437
56797	0.779961891	0.777629775	0.770374326
56808	0.779961912	0.777630427	0.770381259
56827	0.77998723	0.777632496	0.770424891
56838	0.779988448	0.777634495	0.770487788
56892	0.779988754	0.777650316	0.770527958
56902	0.779995608	0.777650956	0.770690008
56997	0.779999841	0.777685555	0.770785474
57019	0.780000005	0.777685572	0.770785622
57111	0.780000031	0.777686059	0.770786185
57127	0.780012268	0.777701984	0.770793566
57204	0.780036354	0.777705748	0.770793607
57237	0.780048597	0.777706405	0.770800969
57254	0.78005281	0.777709069	0.770801124
57265	0.780060985	0.777711958	0.770814563
57307	0.780063834	0.777718352	0.770828413
57347	0.78006831	0.77772786	0.770829061
57348	0.780071985	0.777731656	0.770831787
57351	0.780072384	0.777734366	0.770832712
57352	0.780078344	0.777736846	0.770836556
57401	0.780082436	0.777750115	0.770851765
57405	0.780086228	0.77775662	0.770851919
57420	0.780097981	0.777762248	0.770875416
57463	0.780101671	0.777775066	0.770876401
57603	0.780102232	0.777782847	0.770883387
57609	0.780122785	0.777791622	0.770901186
57631	0.780123816	0.777796159	0.770902701
57634	0.780138447	0.777800852	0.770913971
57647	0.780142289	0.777801083	0.770915219
57673	0.780170914	0.77781092	0.770922072
57698	0.780171294	0.77781123	0.770939781
57702	0.780176856	0.777811745	0.770955304
57713	0.780177065	0.777815544	0.770964679
57732	0.780180765	0.777816467	0.770966772
57760	0.780181183	0.777817372	0.770981427
57810	0.780187602	0.777821533	0.770983328
57818	0.780188231	0.777822047	0.770983737
57839	0.780188375	0.777822814	0.770986642
57900	0.7802157	0.777823455	0.770989792
57903	0.780219072	0.777824026	0.770991016
57908	0.780221069	0.777825436	0.770995429
